Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2015-2017,1688,49,2.9,2.98,2.92,2.16,3.87,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Valve or Valve/CABG,2015-2017,116,4,3.45,2.07,4.99,1.34,12.77,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2015-2017,1126,27,2.4,2.6,2.77,1.83,4.03,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Valve or Valve/CABG,2015-2017,1352,31,2.29,1.61,4.28,2.91,6.08,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2015-2017,375,12,3.2,3.01,3.19,1.64,5.57,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2015-2017,1228,39,3.18,3.65,2.61,1.86,3.57,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2015-2017,1005,39,3.88,3.49,3.34,2.37,4.56,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2015-2017,414,4,0.97,2.96,0.98,0.26,2.51,Rate significantly lower than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2015-2017,244,9,3.69,2.36,4.68,2.14,8.89,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2015-2017,1102,38,3.45,3.47,2.98,2.11,4.09,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,Valve or Valve/CABG,2015-2017,1299,29,2.23,3.7,1.81,1.21,2.6,Rate significantly lower than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,Valve or Valve/CABG,2015-2017,888,25,2.82,3.38,2.5,1.62,3.69,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Valve or Valve/CABG,2015-2017,146,4,2.74,2.47,3.32,0.89,8.51,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Valve or Valve/CABG,2015-2017,718,36,5.01,2.37,6.34,4.44,8.78,Rate significantly higher than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,Valve or Valve/CABG,2015-2017,187,9,4.81,1.83,7.89,3.6,14.98,Rate significantly higher than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Valve or Valve/CABG,2015-2017,50,3,6,3.32,5.42,1.09,15.84,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Valve or Valve/CABG,2015-2017,392,11,2.81,3.3,2.55,1.27,4.57,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,Valve or Valve/CABG,2015-2017,65,6,9.23,3.44,8.05,2.94,17.52,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2015-2017,392,3,0.77,3.19,0.72,0.14,2.1,Rate significantly lower than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Valve or Valve/CABG,2015-2017,259,15,5.79,4.36,3.98,2.23,6.57,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,TAVR,2015-2017,604,22,3.64,2.92,3.46,2.17,5.24,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,TAVR,2015-2017,174,3,1.72,2.85,1.68,0.34,4.9,Rate not different than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,TAVR,2015-2017,162,3,1.85,2.45,2.1,0.42,6.13,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,TAVR,2015-2017,103,5,4.85,2.57,5.23,1.69,12.21,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,TAVR,2015-2017,573,12,2.09,2.55,2.28,1.18,3.98,Rate not different than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,TAVR,2015-2017,102,3,2.94,2.59,3.15,0.63,9.2,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,TAVR,2015-2017,250,10,4,2.55,4.36,2.09,8.01,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,TAVR,2015-2017,259,13,5.02,2.61,5.33,2.83,9.11,Rate significantly higher than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,TAVR,2015-2017,297,18,6.06,2.89,5.83,3.45,9.21,Rate significantly higher than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,TAVR,2015-2017,764,20,2.62,3.02,2.4,1.47,3.71,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,TAVR,2015-2017,670,17,2.54,2.88,2.45,1.43,3.92,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,TAVR,2015-2017,1075,38,3.53,3.21,3.06,2.16,4.2,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,TAVR,2015-2017,81,2,2.47,2.63,2.61,0.29,9.42,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,TAVR,2015-2017,452,17,3.76,3.17,3.3,1.92,5.28,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,TAVR,2015-2017,216,6,2.78,2.79,2.76,1.01,6.01,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,TAVR,2015-2017,312,12,3.85,2.88,3.7,1.91,6.47,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,TAVR,2015-2017,103,4,3.88,3.43,3.14,0.84,8.04,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,TAVR,2015-2017,195,8,4.1,2.46,4.62,1.99,9.11,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,TAVR,2015-2017,72,2,2.78,2.77,2.78,0.31,10.05,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,TAVR,2015-2017,239,1,0.42,2.32,0.5,0.01,2.79,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,TAVR,2015-2017,769,23,2.99,2.89,2.88,1.82,4.32,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,TAVR,2015-2017,494,10,2.02,2.68,2.1,1,3.86,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,TAVR,2015-2017,876,15,1.71,2.19,2.17,1.21,3.57,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,TAVR,2015-2017,1110,14,1.26,2.7,1.3,0.71,2.17,Rate significantly lower than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,TAVR,2015-2017,12,0,0,4.38,0,0,19.34,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,TAVR,2015-2017,47,0,0,1.68,0,0,12.86,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,TAVR,2015-2017,152,4,2.63,2.42,3.02,0.81,7.73,Rate not different than Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,All PCI,2017,51429,581,1.13,1.13,1.13,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Non-Emergency PCI,2017,42385,331,0.78,0.78,0.78,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,CABG,2017,8782,139,1.58,1.58,1.58,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Emergency PCI,2015-2017,26332,783,2.97,2.97,2.97,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,Valve or Valve/CABG,2015-2017,20367,611,3,3,3,,,Statewide Rate
0000,NYS - All Hospitals,New York State,New York State,TAVR,2015-2017,10163,282,2.77,2.77,2.77,,,Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,All PCI,2018,709,31,4.37,1.61,3.75,2.55,5.32,Rate significantly higher than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2018,266,7,2.63,1.68,2.16,0.87,4.46,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,All PCI,2018,469,8,1.71,1.62,1.45,0.62,2.85,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2018,374,16,4.28,2.78,2.11,1.21,3.43,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,All PCI,2018,222,2,0.9,1.45,0.85,0.1,3.08,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2018,189,6,3.17,1.72,2.55,0.93,5.54,Rate not different than Statewide Rate
1288,Brooklyn Hosp.Downtown,Kings,NY Metro - NYC,All PCI,2018,129,0,0,0.96,0,0,4.1,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2018,1397,23,1.65,1.66,1.36,0.86,2.05,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2018,113,4,3.54,1.67,2.92,0.79,7.48,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,All PCI,2018,379,4,1.06,1.66,0.88,0.24,2.24,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,All PCI,2018,600,10,1.67,1.51,1.52,0.73,2.8,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2018,427,5,1.17,1.54,1.05,0.34,2.45,Rate not different than Statewide Rate
0699,Garnet Health Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,724,9,1.24,1.3,1.31,0.6,2.49,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2018,206,4,1.94,1.88,1.42,0.38,3.63,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,533,8,1.5,1.88,1.1,0.47,2.16,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,1198,8,0.67,0.82,1.13,0.48,2.22,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,576,9,1.56,1.21,1.77,0.81,3.37,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2018,291,3,1.03,2.2,0.65,0.13,1.89,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2018,1759,7,0.4,0.75,0.73,0.29,1.51,Rate not different than Statewide Rate
0885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,398,6,1.51,1.12,1.86,0.68,4.05,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2018,668,3,0.45,1.06,0.58,0.12,1.71,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2018,1287,14,1.09,1.95,0.77,0.42,1.29,Rate significantly lower than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,All PCI,2018,1102,21,1.91,1.51,1.74,1.08,2.66,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2018,1159,12,1.04,1.14,1.24,0.64,2.17,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2018,809,16,1.98,1.37,1.99,1.14,3.23,Rate not different than Statewide Rate
0694,Montefiore St. Lukes,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,360,9,2.5,1.48,2.33,1.06,4.42,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2018,1458,9,0.62,1.05,0.81,0.37,1.54,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2018,3348,19,0.57,0.85,0.92,0.55,1.43,Rate not different than Statewide Rate
1469,Mount Sinai Morningside,Manhattan,NY Metro - NYC,All PCI,2018,1065,13,1.22,1.3,1.3,0.69,2.22,Rate not different than Statewide Rate
0527,Mount Sinai South Nassau,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,558,12,2.15,1.6,1.85,0.96,3.24,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,All PCI,2018,1064,18,1.69,1.13,2.05,1.22,3.24,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2018,2098,25,1.19,1.16,1.42,0.92,2.09,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,312,3,0.96,1.52,0.87,0.17,2.54,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,All PCI,2018,761,11,1.45,1.16,1.72,0.86,3.07,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2018,828,8,0.97,1.64,0.81,0.35,1.6,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2018,2099,12,0.57,0.8,0.98,0.51,1.72,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,All PCI,2018,326,5,1.53,1.79,1.18,0.38,2.75,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,1033,13,1.26,1.59,1.09,0.58,1.86,Rate not different than Statewide Rate
0574,Niagara Falls Memorial,Western NY - Buffalo,Western NY - Buffalo,All PCI,2018,180,0,0,1.11,0,0,2.52,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,2334,20,0.86,1.39,0.85,0.52,1.31,Rate significantly lower than Statewide Rate
0066,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,All PCI,2018,130,4,3.08,1.89,2.24,0.6,5.73,Rate not different than Statewide Rate
0938,Peconic Bay Med Ctr,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,141,3,2.13,1.19,2.45,0.49,7.17,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,All PCI,2018,189,3,1.59,1.68,1.3,0.26,3.8,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2018,1277,24,1.88,1.8,1.44,0.92,2.14,Rate not different than Statewide Rate
0756,Samaritan Hospital,Capital District,Capital District,All PCI,2018,260,7,2.69,1,3.69,1.48,7.61,Rate significantly higher than Statewide Rate
0818,Saratoga Hospital,Capital District,Capital District,All PCI,2018,251,2,0.8,1.63,0.67,0.08,2.42,Rate not different than Statewide Rate
0924,South Shore Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,889,8,0.9,0.98,1.26,0.54,2.49,Rate not different than Statewide Rate
0889,Southampton Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,83,1,1.2,1.56,1.07,0.01,5.93,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,All PCI,2018,134,1,0.75,1.39,0.74,0.01,4.13,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,228,5,2.19,1.07,2.81,0.91,6.55,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2018,864,22,2.55,1.58,2.22,1.39,3.36,Rate significantly higher than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,2823,25,0.89,1.09,1.12,0.73,1.66,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,All PCI,2018,2012,35,1.74,1.87,1.28,0.89,1.78,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,All PCI,2018,809,13,1.61,1.48,1.49,0.79,2.55,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2018,877,7,0.8,0.82,1.33,0.53,2.74,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2018,1166,26,2.23,1.76,1.74,1.14,2.55,Rate not different than Statewide Rate
0058,UHS-Wilson Med Ctr,Central NY,Central NY,All PCI,2018,650,7,1.08,1.35,1.09,0.44,2.26,Rate not different than Statewide Rate
0135,UVM Health Network CVP,Capital District,Capital District,All PCI,2018,696,7,1.01,1.81,0.76,0.31,1.57,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2018,275,10,3.64,2.41,2.08,1,3.82,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2018,350,15,4.29,2.86,2.07,1.16,3.41,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2018,1333,31,2.33,1.7,1.88,1.28,2.67,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2018,203,2,0.99,2.15,0.63,0.07,2.28,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,1091,22,2.02,2.04,1.36,0.85,2.06,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,423,10,2.36,1.87,1.74,0.84,3.21,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2018,473,5,1.06,1.08,1.34,0.43,3.14,Rate not different than Statewide Rate
0001,Albany Med. Ctr,Capital District,Capital District,Non-Emergency PCI,2018,589,15,2.55,1.03,2.17,1.21,3.58,Rate significantly higher than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2018,154,3,1.95,0.84,2.03,0.41,5.94,Rate not different than Statewide Rate
0746,Bassett Medical Center,Capital District,Capital District,Non-Emergency PCI,2018,372,5,1.34,1.01,1.17,0.38,2.72,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,279,7,2.51,1.35,1.63,0.65,3.35,Rate not different than Statewide Rate
1178,BronxCare Health System,Bronx,NY Metro - NYC,Non-Emergency PCI,2018,129,1,0.78,1.01,0.67,0.01,3.72,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2018,130,4,3.08,1.38,1.94,0.52,4.98,Rate not different than Statewide Rate
1288,Brooklyn Hosp.Downtown,Kings,NY Metro - NYC,Non-Emergency PCI,2018,95,0,0,0.58,0,0,5.79,Rate not different than Statewide Rate
0207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2018,975,7,0.72,0.98,0.64,0.26,1.32,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2018,54,0,0,0.81,0,0,7.3,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2018,310,1,0.32,0.87,0.33,0,1.81,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Non-Emergency PCI,2018,389,4,1.03,0.97,0.92,0.25,2.36,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2018,284,1,0.35,0.56,0.55,0.01,3.07,Rate not different than Statewide Rate
0699,Garnet Health Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2018,566,5,0.88,0.94,0.82,0.26,1.91,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2018,125,2,1.6,0.69,2.03,0.23,7.33,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2018,397,2,0.5,0.98,0.45,0.05,1.62,Rate not different than Statewide Rate
0925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,1125,7,0.62,0.68,0.79,0.32,1.64,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,448,5,1.12,0.66,1.49,0.48,3.47,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2018,150,2,1.33,1,1.16,0.13,4.21,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,1661,6,0.36,0.57,0.55,0.2,1.2,Rate not different than Statewide Rate
0885,Long Island Comm. Hosp.,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,275,2,0.73,0.69,0.92,0.1,3.33,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2018,544,3,0.55,0.79,0.61,0.12,1.79,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2018,1039,7,0.67,1.3,0.45,0.18,0.93,Rate not different than Statewide Rate
0213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2018,820,11,1.34,1,1.17,0.58,2.1,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2018,1015,4,0.39,0.89,0.39,0.1,0.99,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2018,648,11,1.7,0.95,1.57,0.78,2.81,Rate not different than Statewide Rate
0694,Montefiore St. Lukes,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2018,285,6,2.11,1.01,1.82,0.67,3.97,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,1317,6,0.46,0.75,0.53,0.2,1.16,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,3216,16,0.5,0.77,0.56,0.32,0.91,Rate not different than Statewide Rate
1469,Mount Sinai Morningside,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,954,9,0.94,1.05,0.79,0.36,1.49,Rate not different than Statewide Rate
0527,Mount Sinai South Nassau,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,415,5,1.2,1.02,1.03,0.33,2.41,Rate not different than Statewide Rate
1306,NYP-Brooklyn Methodist,Kings,NY Metro - NYC,Non-Emergency PCI,2018,968,12,1.24,0.85,1.28,0.66,2.23,Rate not different than Statewide Rate
1464,NYP-Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,1982,20,1.01,0.77,1.15,0.7,1.77,Rate not different than Statewide Rate
1122,NYP-Lawrence Hosp,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2018,240,1,0.42,0.78,0.47,0.01,2.6,Rate not different than Statewide Rate
1637,NYP-Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2018,610,8,1.31,0.58,1.99,0.85,3.91,Rate not different than Statewide Rate
1458,NYP-Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,707,5,0.71,1,0.62,0.2,1.45,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2018,1967,8,0.41,0.59,0.6,0.26,1.19,Rate not different than Statewide Rate
1304,NYU Langone Hosp.-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2018,222,2,0.9,0.78,1.01,0.11,3.65,Rate not different than Statewide Rate
0511,NYU Winthrop Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,829,7,0.84,0.93,0.8,0.32,1.64,Rate not different than Statewide Rate
0574,Niagara Falls Memorial,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2018,134,0,0,0.59,0,0,4.04,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,1980,10,0.51,0.94,0.47,0.23,0.87,Rate significantly lower than Statewide Rate
0066,Olean General Hosp.,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2018,60,0,0,0.86,0,0,6.2,Rate not different than Statewide Rate
0938,Peconic Bay Med Ctr,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,95,1,1.05,0.59,1.56,0.02,8.7,Rate not different than Statewide Rate
1738,Richmond Univ Med Cntr,Staten Island,NY Metro - NYC,Non-Emergency PCI,2018,123,1,0.81,0.81,0.88,0.01,4.89,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2018,1027,7,0.68,0.95,0.63,0.25,1.3,Rate not different than Statewide Rate
0756,Samaritan Hospital,Capital District,Capital District,Non-Emergency PCI,2018,189,5,2.65,0.55,4.17,1.34,9.73,Rate significantly higher than Statewide Rate
0818,Saratoga Hospital,Capital District,Capital District,Non-Emergency PCI,2018,160,1,0.63,0.53,1.02,0.01,5.68,Rate not different than Statewide Rate
0924,South Shore Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,763,5,0.66,0.68,0.84,0.27,1.97,Rate not different than Statewide Rate
0889,Southampton Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,53,0,0,0.48,0,0,12.57,Rate not different than Statewide Rate
1176,St. Barnabas Hospital,Bronx,NY Metro - NYC,Non-Emergency PCI,2018,104,0,0,0.83,0,0,3.71,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,194,4,2.06,0.79,2.29,0.62,5.85,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,Non-Emergency PCI,2018,660,9,1.36,0.92,1.3,0.59,2.47,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2018,2629,18,0.68,0.74,0.81,0.48,1.28,Rate not different than Statewide Rate
